dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,26.43617647058824,16.48044117647059,2019,1
Friday,1,25.862982456140355,16.471578947368425,2019,1
Friday,2,26.864523809523813,16.844523809523807,2019,1
Friday,3,40.35976190476191,17.978333333333335,2019,1
Friday,4,45.08804347826087,18.745652173913044,2019,1
Friday,5,43.44886363636363,20.071136363636366,2019,1
Friday,6,52.329130434782606,22.748478260869568,2019,1
Friday,7,45.65372093023256,22.096744186046507,2019,1
Friday,8,23.838510638297873,13.414255319148939,2019,1
Friday,9,14.738461538461538,8.589076923076922,2019,1
Friday,10,20.32197530864198,11.340493827160492,2019,1
Friday,11,18.70013157894736,9.497105263157897,2019,1
Friday,12,15.564021739130435,7.291630434782605,2019,1
Friday,13,14.508604651162791,6.588255813953487,2019,1
Friday,14,14.204021739130438,6.378586956521741,2019,1
Friday,15,15.45358695652174,6.960108695652176,2019,1
Friday,16,20.307444444444442,10.745333333333335,2019,1
Friday,17,20.859166666666678,12.123214285714283,2019,1
Friday,18,29.73346666666667,17.223333333333333,2019,1
Friday,19,32.961842105263166,18.864210526315777,2019,1
Friday,20,35.10215384615387,19.74230769230769,2019,1
Friday,21,42.835,24.4422972972973,2019,1
Friday,22,37.53857142857142,22.99757142857143,2019,1
Friday,23,31.062318840579707,18.535942028985513,2019,1
Monday,0,30.046179775280894,16.17842696629214,2019,1
Monday,1,27.625977011494264,14.452643678160918,2019,1
Monday,2,20.84409638554217,10.242650602409642,2019,1
Monday,3,18.386233766233772,8.4825974025974,2019,1
Monday,4,15.535972222222224,6.455416666666667,2019,1
Monday,5,15.310945945945942,6.164189189189188,2019,1
Monday,6,14.721764705882357,5.683529411764708,2019,1
Monday,7,17.28341772151899,7.025949367088604,2019,1
Monday,8,19.874090909090917,8.731212121212122,2019,1
Monday,9,18.742999999999995,7.719833333333337,2019,1
Monday,10,15.036470588235291,6.6472058823529405,2019,1
Monday,11,10.797014925373135,4.862835820895524,2019,1
Monday,12,9.84073529411765,4.0114705882352935,2019,1
Monday,13,12.72916666666667,6.0512500000000005,2019,1
Monday,14,11.371000000000002,4.724500000000002,2019,1
Monday,15,9.88757575757576,4.466212121212121,2019,1
Monday,16,9.971029411764707,4.557205882352941,2019,1
Monday,17,12.348243243243239,6.30689189189189,2019,1
Monday,18,11.966712328767121,6.508356164383563,2019,1
Monday,19,10.271688311688314,5.055194805194805,2019,1
Monday,20,9.944444444444445,4.300987654320988,2019,1
Monday,21,10.82974683544304,4.678987341772152,2019,1
Monday,22,11.452469135802469,4.6416049382716045,2019,1
Monday,23,11.634285714285713,4.832857142857142,2019,1
Saturday,0,29.048571428571424,16.672987012987015,2019,1
Saturday,1,22.53851351351352,13.046756756756754,2019,1
Saturday,2,22.867936507936506,13.369682539682534,2019,1
Saturday,3,16.142833333333336,9.476166666666662,2019,1
Saturday,4,12.081780821917809,6.592054794520546,2019,1
Saturday,5,13.255972222222216,7.476388888888887,2019,1
Saturday,6,11.087323943661971,6.513521126760561,2019,1
Saturday,7,9.430972222222223,5.128611111111114,2019,1
Saturday,8,9.384929577464789,5.4191549295774655,2019,1
Saturday,9,10.348266666666659,6.174666666666664,2019,1
Saturday,10,9.234999999999998,5.654594594594595,2019,1
Saturday,11,9.153333333333334,5.7380555555555555,2019,1
Saturday,12,9.030000000000001,6.200999999999998,2019,1
Saturday,13,6.843548387096776,4.092096774193548,2019,1
